school_name,standard_name,province,city,is_985,is_211,is_double_first_class,school_type,ownership,education_level,source
西南政法大学,西南政法大学,重庆,渝北区,0,0,0,政法,公办,本科,manual_seed
中国药科大学,中国药科大学,江苏,南京,1,0,1,医药,公办,本科,manual_seed
齐鲁工业大学,齐鲁工业大学,山东,济南市,0,0,0,理工,公办,本科,manual_seed
齐鲁工业大学(菏泽校区),齐鲁工业大学(菏泽校区),山东,菏泽市,0,0,0,理工,公办,本科,manual_seed
山东师范大学,山东师范大学,山东,济南市,0,0,0,综合 师范,公办,本科,manual_seed
大连外国语大学,大连外国语大学,辽宁,大连市,0,0,0,语言,公办,本科,manual_seed
东北农业大学,东北农业大学,黑龙江,哈尔滨市,1,0,1,农林,公办,本科,manual_seed
火箭军工程大学,火箭军工程大学,陕西,西安市,0,0,0,军事,公办,本科,manual_seed
香港城市大学,香港城市大学,香港,香港,0,0,0,综合,公办,本科,manual_seed
中国人民解放军火箭军工程大学,中国人民解放军火箭军工程大学,陕西,西安市,0,0,0,军事,公办,本科,manual_seed
西北师范大学,西北师范大学,甘肃,兰州市,0,0,0,综合,公办,本科,manual_seed
北京语言大学,北京语言大学,北京,海淀区,0,0,0,语言,公办,本科,manual_seed
江西师范大学,江西师范大学,江西,南昌市,0,0,0,师范,公办,本科,manual_seed
上海音乐学院,上海音乐学院,上海,徐汇区,0,0,1,艺术,公办,本科,manual_seed
上海中医药大学,上海中医药大学,上海,浦东新区,0,0,1,医药,公办,本科,manual_seed
广东外语外贸大学,广东外语外贸大学,广东,广州市,0,0,0,语言,公办,本科,manual_seed
山东农业大学,山东农业大学,山东,泰安市,0,0,0,农林,公办,本科,manual_seed
四川美术学院,四川美术学院,重庆,沙坪坝区,0,0,0,艺术,公办,本科,manual_seed
青岛大学,青岛大学,山东,青岛市,0,0,0,综合,公办,本科,manual_seed
河南科技大学,河南科技大学,河南,洛阳市,0,0,0,综合,公办,本科,manual_seed
南京医科大学,南京医科大学,江苏,南京,0,0,0,医药,公办,本科,manual_seed
四川农业大学,四川农业大学,四川,雅安市,1,0,1,农林,公办,本科,manual_seed
西安建筑科技大学,西安建筑科技大学,陕西,西安市,0,0,0,理工,公办,本科,manual_seed
江西财经大学,江西财经大学,江西,南昌市,0,0,0,财经,公办,本科,manual_seed
香港理工大学,香港理工大学,香港,香港,0,0,0,综合,公办,本科,manual_seed
中国地质大学(北京),中国地质大学(北京),北京,海淀区,1,0,1,理工,公办,本科,manual_seed
华侨大学,华侨大学,福建,泉州市,0,0,0,综合,公办,本科,manual_seed
浙江工商大学,浙江工商大学,浙江,杭州市,0,0,0,财经,公办,本科,manual_seed
广州大学,广州大学,广东,广州市,0,0,0,综合,公办,本科,manual_seed
山东科技大学,山东科技大学,山东,青岛市,0,0,0,理工,公办,本科,manual_seed
湖南农业大学,湖南农业大学,湖南,长沙市,0,0,0,农林,公办,本科,manual_seed
海南大学,海南大学,海南,海口市,1,0,1,综合,公办,本科,manual_seed
海南大学(儋州校区),海南大学(儋州校区),海南,儋州市,1,0,1,综合类,公办,本科,manual_seed
河北工业大学,河北工业大学,天津,北辰区,1,0,1,理工,公办,本科,manual_seed
武汉科技大学,武汉科技大学,湖北,武汉市,0,0,0,综合,公办,本科,manual_seed
澳门城市大学,澳门城市大学,澳门,澳门,0,0,0,综合,公办,本科,manual_seed
北京第二外国语学院,北京第二外国语学院,北京,朝阳区,0,0,0,语言,公办,本科,manual_seed
国际关系学院,国际关系学院,北京,海淀区,0,0,0,政法,公办,本科,manual_seed
香港树仁大学,香港树仁大学,香港,香港,0,0,0,综合,民办,本科,manual_seed
香港演艺学院,香港演艺学院,香港,香港,0,0,0,艺术,公办,本科,manual_seed
广东工业大学,广东工业大学,广东,广州市,0,0,0,理工,公办,本科,manual_seed
鲁迅美术学院,鲁迅美术学院,辽宁,沈阳市,0,0,0,艺术,公办,本科,manual_seed
天津工业大学,天津工业大学,天津,西青区,0,0,1,理工,公办,本科,manual_seed
